train_episodes,seed,inv_rew,inn_rew,fraud_rew,trick_rew,fraudster_catch_rate,innocent_catch_rate,trickster_catch_rate,timeout_rate,mean_observations,mean_accusations,mean_votes,mean_episode_length,mean_remaining_budget,mean_focuses
50000,71,-0.40738,-0.85366,4.04368,3.766261823741853,0.26388,0.20938,0.21282,0.31392,2.02668,4.33668,0.68608,8.75604,2.95056,1.7066
50000,74,-0.48312,-0.89064,4.33588,3.954332227987408,0.25638,0.2081,0.2152,0.32032,1.8899,4.5745,0.67968,8.79832,2.85592,1.65424
50000,77,-0.45452,-0.89798,4.31926,3.9749065059930087,0.26034,0.21034,0.2126,0.31672,1.89168,4.58816,0.68328,8.75038,2.83688,1.58726
100000,71,-0.25891,-0.73126,4.19854,3.976298574344299,0.26322,0.19591,0.19557,0.3453,2.02218,4.64199,0.6547,9.1258,2.68113,1.80693
100000,74,-0.37072,-0.76601,4.7662,4.414014419821974,0.24869,0.18977,0.19919,0.36235,1.74952,5.14828,0.63765,9.26825,2.46455,1.7328
100000,77,-0.34828,-0.75639,4.57174,4.259570352123901,0.25336,0.19236,0.202,0.35228,1.87301,4.9625,0.64772,9.15957,2.51677,1.67634
250000,71,0.040048,-0.45626,4.276564,4.073243727529173,0.26362,0.16666,0.179916,0.389804,2.124716,5.043772,0.610196,9.677392,2.221316,1.898708
250000,74,-0.112532,-0.572988,5.175212,4.831740214587546,0.246068,0.164152,0.170956,0.418824,1.638672,5.853224,0.581176,9.919564,1.926928,1.846492
250000,77,-0.174372,-0.568244,4.698504,4.31837041653252,0.245864,0.16786,0.184068,0.402208,1.946844,5.28006,0.597792,9.579512,2.175304,1.754816
500000,71,0.718508,-0.038738,4.065418,4.628333612397905,0.29808,0.137864,0.159798,0.404258,1.842442,5.529332,0.595742,9.907682,2.032484,1.940166
500000,74,0.691008,-0.130252,4.67518,5.244901607532171,0.297594,0.142418,0.150382,0.409606,1.48519,6.148834,0.590394,10.13643,1.775582,1.912012
500000,77,0.47701,-0.16173,4.277758,4.557594996238221,0.281166,0.142448,0.166892,0.409494,1.718922,5.508448,0.590506,9.567892,2.182124,1.750016
