algorithm,train_episodes,seed,mean_reward,fraudster_catch_rate,innocent_catch_rate,trickster_catch_rate,timeout_rate,mean_observations,mean_accusations,mean_votes,mean_episode_length,mean_remaining_budget,q_states
q_learning,10000,11,6.4205,0.7415,0.067,0.0665,0.125,0.927,3.225,0.875,6.81,4.973,29813
monte_carlo,10000,11,3.9035,0.5595,0.112,0.1215,0.207,2.0785,2.9545,0.793,7.257,4.174,40260
q_learning,10000,42,6.484,0.744,0.063,0.0665,0.1265,0.6785,3.3475,0.8735,5.85,5.1005,29421
monte_carlo,10000,42,4.7455,0.6245,0.101,0.1075,0.167,1.62,2.9315,0.833,6.5065,4.6155,38048
q_learning,10000,99,6.6095,0.758,0.0665,0.065,0.1105,0.7625,3.1405,0.8895,5.687,5.2075,30285
monte_carlo,10000,99,3.961,0.5735,0.1235,0.118,0.185,1.815,2.9445,0.815,6.814,4.4255,38982
q_learning,50000,11,8.6155,0.8895,0.015,0.017,0.0785,0.3235,3.4435,0.9215,6.4695,5.3115,58582
monte_carlo,50000,11,8.4895,0.8875,0.024,0.0285,0.06,0.5135,2.5605,0.94,4.8205,5.986,76257
q_learning,50000,42,9.023,0.9195,0.0075,0.012,0.061,0.1875,3.273,0.939,5.255,5.6005,56629
monte_carlo,50000,42,8.724,0.903,0.019,0.019,0.059,0.4015,2.5635,0.941,4.46,6.094,71856
q_learning,50000,99,8.9075,0.912,0.0105,0.015,0.0625,0.242,3.2035,0.9375,5.221,5.617,58365
monte_carlo,50000,99,8.4085,0.885,0.0305,0.026,0.0585,0.5305,2.6115,0.9415,4.9545,5.9165,75455
q_learning,100000,11,9.186,0.9335,0.0075,0.0075,0.0515,0.2115,3.277,0.9485,6.2385,5.563,76769
monte_carlo,100000,11,9.2645,0.945,0.0115,0.0135,0.03,0.2695,2.458,0.97,4.2785,6.3025,96626
q_learning,100000,42,9.4155,0.9535,0.007,0.005,0.0345,0.097,3.12,0.9655,4.9635,5.8175,76965
monte_carlo,100000,42,9.2705,0.945,0.0115,0.0105,0.033,0.213,2.442,0.967,4.078,6.378,92063
q_learning,100000,99,9.282,0.9415,0.0065,0.008,0.044,0.135,3.1355,0.956,5.061,5.7735,77812
monte_carlo,100000,99,9.0365,0.9265,0.014,0.0145,0.045,0.2945,2.499,0.955,4.487,6.2515,96241
q_learning,250000,11,9.5855,0.9645,0.002,0.003,0.0305,0.165,3.1205,0.9695,6.219,5.745,105406
monte_carlo,250000,11,9.682,0.9745,0.0035,0.003,0.019,0.099,2.425,0.981,3.8665,6.495,129785
q_learning,250000,42,9.7605,0.9795,0.001,0.0025,0.017,0.0495,2.923,0.983,4.6255,6.0445,111019
monte_carlo,250000,42,9.705,0.9755,0.0025,0.0015,0.0205,0.0815,2.335,0.9795,3.705,6.604,125812
q_learning,250000,99,9.7395,0.979,0.0025,0.0035,0.015,0.0555,2.772,0.985,4.4375,6.1875,111006
monte_carlo,250000,99,9.643,0.9735,0.0065,0.0035,0.0165,0.116,2.43,0.9835,4.1125,6.4705,130518
q_learning,500000,11,9.846,0.987,0.001,0.001,0.011,0.104,2.7215,0.989,5.8025,6.1855,130590
monte_carlo,500000,11,9.844,0.9875,0.0015,0.0025,0.0085,0.0395,2.379,0.9915,3.628,6.59,161644
q_learning,500000,42,9.795,0.9835,0.0025,0.0005,0.0135,0.035,2.6905,0.9865,4.18,6.288,140693
monte_carlo,500000,42,9.856,0.988,0.001,0.0015,0.0095,0.0365,2.3205,0.9905,3.58,6.6525,158077
q_learning,500000,99,9.779,0.981,0.001,0.0015,0.0165,0.0325,2.669,0.9835,4.208,6.315,140814
monte_carlo,500000,99,9.833,0.9865,0.0015,0.0025,0.0095,0.0555,2.377,0.9905,3.8425,6.577,161857
