train_episodes,seed,episodes_seen,investigator_all,criminal_all,investigator_recent,criminal_recent,predicted_side,prediction_confidence
50000,71,50000,0.5575793432785361,0.4424206567214639,0.588,0.41200000000000003,investigator,0.5773527701474876
50000,74,50000,0.5519720978298313,0.44802790217016875,0.564,0.43600000000000005,investigator,0.5597902342404409
50000,77,50000,0.5531146426446842,0.44688535735531576,0.59,0.41000000000000003,investigator,0.5770901249256395
100000,71,100000,0.5733016792629538,0.42669832073704617,0.564,0.43600000000000005,investigator,0.5672555877420338
100000,74,100000,0.567189709437577,0.43281029056242304,0.588,0.41200000000000003,investigator,0.5807163983031519
100000,77,100000,0.5684286098896169,0.43157139011038315,0.618,0.382,investigator,0.6006500134613659
250000,71,250000,0.6126708190015804,0.3873291809984196,0.716,0.28400000000000003,investigator,0.6798347866505531
250000,74,250000,0.5998439861537711,0.4001560138462289,0.678,0.32199999999999995,investigator,0.6506453951538199
250000,77,250000,0.5942705765196121,0.4057294234803879,0.66,0.33999999999999997,investigator,0.6369947017818642
500000,71,500000,0.6837575468408786,0.31624245315912136,0.75,0.25,investigator,0.7268151413943076
500000,74,500000,0.6763315545939657,0.32366844540603434,0.782,0.21799999999999997,investigator,0.745016044107888
500000,77,500000,0.6637316047156138,0.33626839528438623,0.724,0.276,investigator,0.7029060616504648
